"Date","Text","Link","Media URL","Title","Label","Alt text(s)","Comment(s)","Pin board","Post subtype"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если надо написать арендодателю. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: в кафе принесли не то. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском I am agree выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Английский вроде есть, но в аэропорту речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел напомнить о задаче, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если на работе надо не согласиться. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: в отеле не работает карта. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском I have 30 years выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Английский вроде есть, но в small talk речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел попросить подождать, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если в банке списали деньги. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: на собеседовании не понял вопрос. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском I wait you выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Английский вроде есть, но в чате на работе речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел поправить ошибку, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если в аэропорту всё поменялось. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: в школе надо поговорить с учителем. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском Make photo выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Английский вроде есть, но в кафе речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел сказать, что занята, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если в магазине надо вернуть товар. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: в customer support нужна компенсация. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском Open me the door выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Английский вроде есть, но в школе у ребёнка речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском ты хотел попросить объяснить проще, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","В английском разговоре нужна не теория, а набор фраз для ситуации: если в разговоре страшно начать. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","Реальная ситуация на английском: в рабочем чате нужно уточнить задачу. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
"","На английском I need to go on job выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского с короткими уроками, озвучкой и объяснениями по-русски. Скачивай бесплатно по ссылке в шапке профиля.","","","","english_carousel","","","","carousel"
