lesson1_phrase_1	Estoy aquí.
lesson3_phrase_47	Suena bien.
lesson3_phrase_48	Pedimos un taxi.
lesson3_phrase_49	Se acuerda de mí.
lesson3_phrase_50	Ayudas a tus amigos.
lesson4_phrase_1	No bebo leche.
lesson4_phrase_2	No escuchas.
lesson4_phrase_3	Él no fuma.
lesson4_phrase_4	No come azúcar.
lesson4_phrase_5	No lo entendemos.
lesson4_phrase_6	No viven aquí.
lesson4_phrase_7	No funciona.
lesson4_phrase_8	No conoces la dirección.
lesson4_phrase_9	No come carne.
lesson4_phrase_10	No recuerdo el número.
lesson4_phrase_11	No lo compramos.
lesson4_phrase_12	No bebe café.
lesson4_phrase_13	No usas esa contraseña.
lesson4_phrase_14	No ve el problema.
lesson4_phrase_15	No llevan mascarillas.
lesson4_phrase_16	No como picante.
lesson4_phrase_17	No pagamos en efectivo.
lesson4_phrase_18	No le gusta el riesgo.
lesson4_phrase_19	No venden entradas.
lesson4_phrase_20	No entiendes las normas.
lesson4_phrase_21	No conduce un autobús.
lesson4_phrase_22	No perdemos la esperanza.
lesson4_phrase_23	No cambia de idea.
lesson4_phrase_24	No siento miedo.
lesson4_phrase_25	No gastan dinero.
lesson4_phrase_26	No sigues los consejos.
lesson4_phrase_27	No olvida los detalles.
lesson4_phrase_28	No creemos los anuncios.
lesson4_phrase_29	No prepara el desayuno.
lesson4_phrase_30	No rompo la ley.
lesson4_phrase_31	No confían en desconocidos.
lesson4_phrase_32	No despilfarramos el tiempo.
lesson4_phrase_33	No lee las noticias.
lesson4_phrase_34	No llevas corbata.
lesson4_phrase_35	No coge dinero.
lesson4_phrase_36	No compartimos secretos.
lesson4_phrase_37	No cierra la ventana.
lesson4_phrase_38	No beben vino.
lesson4_phrase_39	No pagas la multa.
lesson4_phrase_40	No pide ayuda.
lesson4_phrase_41	No llevo efectivo encima.
lesson4_phrase_42	No manda mensajes.
lesson4_phrase_43	No miramos la tele.
lesson4_phrase_44	No usan el mapa.
lesson4_phrase_45	No revisas la lista.
lesson4_phrase_46	No necesito ayuda.
lesson4_phrase_47	No tiene coche.
lesson4_phrase_48	Nos saltamos el desayuno.
lesson4_phrase_49	No bebe alcohol.
lesson4_phrase_50	No pierden las llaves.
lesson5_phrase_1	¿Bebes café?
lesson5_phrase_2	¿Él vive aquí?
lesson5_phrase_3	¿Trabajamos mañana?
lesson5_phrase_4	¿Ella habla inglés?
lesson5_phrase_5	¿Saben ellos la contraseña?
lesson5_phrase_6	¿Escribo bien?
lesson5_phrase_7	¿Cuesta mucho?
lesson5_phrase_8	¿Viajas mucho?
lesson5_phrase_9	¿Él bebe té?
lesson5_phrase_10	¿Usamos este código?
lesson5_phrase_11	¿Ella lleva mascarilla?
lesson5_phrase_12	¿Venden entradas?
lesson5_phrase_13	¿Parezco cansado?
lesson5_phrase_14	¿Recuerdas la dirección?
lesson5_phrase_15	¿Compra comida él?
lesson5_phrase_16	¿Pagamos en efectivo?
lesson5_phrase_17	¿Fuman aquí?
lesson5_phrase_18	¿Ella come carne?
lesson5_phrase_19	¿Oyes un ruido?
lesson5_phrase_20	¿Él llama a menudo?
lesson5_phrase_21	¿Canto bien?
lesson5_phrase_22	¿Pedimos pizza?
lesson5_phrase_23	¿Cree ella en la suerte?
lesson5_phrase_24	¿Hablan ellos inglés?
lesson5_phrase_25	¿Captas bien el riesgo?
lesson5_phrase_26	¿Conduce él un coche?
lesson5_phrase_27	¿Perdemos dinero?
lesson5_phrase_28	¿Lee ella libros?
lesson5_phrase_29	¿Ayudan ellos a la gente?
lesson5_phrase_30	¿Tienes frío?
lesson5_phrase_31	¿Cambias a menudo la contraseña?
lesson5_phrase_32	¿Sabe él el precio?
lesson5_phrase_33	¿Reservamos mesa?
lesson5_phrase_34	¿Ella necesita un médico?
lesson5_phrase_35	¿Aceptan tarjeta de crédito?
lesson5_phrase_36	¿Entramos dentro?
lesson5_phrase_37	¿Ella tiene dolor?
lesson5_phrase_38	¿Ellos saben la respuesta?
lesson5_phrase_39	¿Me veo bien?
lesson5_phrase_40	¿Llevas gafas?
lesson5_phrase_41	¿Entiendes bien todas las normas?
lesson5_phrase_42	¿Olvida él a menudo las llaves?
lesson5_phrase_43	¿Pagamos impuestos?
lesson5_phrase_44	¿Ella busca trabajo?
lesson5_phrase_45	¿Venden verdura?
lesson5_phrase_46	¿Duermo lo suficiente?
lesson5_phrase_47	¿Reservamos habitación?
lesson5_phrase_48	¿Encuentra él los errores?
lesson5_phrase_49	¿Prepara seguido la cena ella?
lesson5_phrase_50	¿Ellos nos oyen?
lesson6_phrase_1	¿Dónde vives?
lesson6_phrase_2	¿Qué come él?
lesson6_phrase_3	¿Cuándo empezamos?
lesson6_phrase_4	¿Por qué llora ella?
lesson6_phrase_5	¿Cómo trabajan ellos?
lesson6_phrase_6	¿Cuánto cuesta?
lesson6_phrase_7	¿Qué bebes?
lesson6_phrase_8	¿Dónde compran ellos billetes?
lesson6_phrase_9	¿Cuándo llama ella?
lesson6_phrase_10	¿Por qué esperamos?
lesson6_phrase_11	¿Cómo vuelves a casa?
lesson6_phrase_12	¿Adónde va él?
lesson6_phrase_13	¿Qué leemos?
lesson6_phrase_14	¿Cuándo suele venir ella?
lesson6_phrase_15	¿Por qué cierran la puerta?
lesson6_phrase_16	¿Qué sueles comprar?
lesson6_phrase_17	¿Dónde trabaja él?
lesson6_phrase_18	¿Por qué pagamos ya?
lesson6_phrase_19	¿Cómo abre ella la ventana?
lesson6_phrase_20	¿Cuándo llegan ellos a casa?
lesson6_phrase_21	¿Qué firmo?
lesson6_phrase_22	¿Dónde mandamos el informe?
lesson6_phrase_23	¿Cómo lo hace él?
lesson6_phrase_24	¿Por qué quiere irse ella?
lesson6_phrase_25	¿Cuándo terminan ellos el trabajo?
lesson6_phrase_26	¿Qué ves?
lesson6_phrase_27	¿Dónde guarda él las llaves?
lesson6_phrase_28	¿Cómo encontramos la salida?
lesson6_phrase_29	¿Por qué lleva ese bolso ella?
lesson6_phrase_30	¿Cuándo abren la tienda?
lesson6_phrase_31	¿Dónde quedamos con los invitados?
lesson6_phrase_32	¿Qué suele cocinar ella?
lesson6_phrase_33	¿Por qué piden ayuda ellos?
lesson6_phrase_34	¿Cuándo revisa él el correo?
lesson6_phrase_35	¿Cómo lo encuentras tú?
lesson6_phrase_36	¿Qué sueles llevar?
lesson6_phrase_37	¿Dónde hace él la compra?
lesson6_phrase_38	¿Cómo lo reservamos?
lesson6_phrase_39	¿Por qué habla ella tan despacio?
lesson6_phrase_40	¿Cuándo empiezan la reunión?
lesson6_phrase_41	¿Qué sueles mirar?
lesson6_phrase_42	¿Dónde dejamos el equipaje?
lesson6_phrase_43	¿Cómo encuentra él el camino?
lesson6_phrase_44	¿Por qué cierra la ventana ella?
lesson6_phrase_45	¿Cuándo cenan ellos?
lesson6_phrase_46	¿Qué sueles pedir?
lesson6_phrase_47	¿Dónde deja el bolso ella?
lesson6_phrase_48	¿Cómo revisamos la cuenta?
lesson6_phrase_49	¿Por qué siempre ayuda ella?
lesson6_phrase_50	¿Cuándo cierra el café?
lesson7_phrase_1	Tengo un seguro.
lesson7_phrase_2	Tiene carné de conducir.
lesson7_phrase_3	Tenemos tiempo libre.
lesson7_phrase_4	Tiene una alergia.
lesson7_phrase_5	¿Tienen reserva ellos?
lesson7_phrase_6	Tengo un mechero.
lesson7_phrase_7	Tiene un pase.
lesson7_phrase_8	Tengo efectivo.
lesson7_phrase_9	¿Tiene ella tablet?
lesson7_phrase_10	Tenemos cambio suelto.
lesson7_phrase_11	No tienen cargadores.
lesson7_phrase_12	¿Yo tengo pasaporte?
lesson7_phrase_13	Ella tiene el menú.
lesson7_phrase_14	¿Tiene él algún dispositivo?
lesson7_phrase_15	Tienen un descuento.
lesson7_phrase_16	Tengo un mapa de la ciudad.
lesson7_phrase_17	¿Tiene ella paraguas?
lesson7_phrase_18	Tenemos Wi-Fi.
lesson7_phrase_19	Tiene dolor de cabeza.
lesson7_phrase_20	¿Ellos tienen reservas de hotel?
lesson7_phrase_21	Tengo una llave de repuesto.
lesson7_phrase_22	Tiene apetito.
lesson7_phrase_23	¿Tiene él pasaporte internacional?
lesson7_phrase_24	No tienen ninguna pregunta.
lesson7_phrase_25	Tengo un cargador de móvil.
lesson7_phrase_26	Ella tiene mi dirección.
lesson7_phrase_27	Él no tiene bolígrafo.
lesson7_phrase_28	Tenemos hora para almorzar.
lesson7_phrase_29	¿Ellos tienen billete de vuelta?
lesson7_phrase_30	Tengo alergia a los frutos secos.
lesson7_phrase_31	Tiene confirmación del billete.
lesson7_phrase_32	¿Tiene batería portátil él?
lesson7_phrase_33	No tienen los documentos.
lesson7_phrase_34	Yo no tengo ese problema.
lesson7_phrase_35	Ella tiene maleta.
lesson7_phrase_36	Él tiene bicicleta.
lesson7_phrase_37	Llevamos efectivo encima.
lesson7_phrase_38	Tienen el número de la reserva.
lesson7_phrase_39	No tengo encendedor.
lesson7_phrase_40	Ella tiene un perro.
lesson7_phrase_41	Él lleva una mochila.
lesson7_phrase_42	No nos da tiempo para almorzar.
lesson7_phrase_43	¿Tienen un plan ellos?
lesson7_phrase_44	Tengo una duda sobre la póliza.
lesson7_phrase_45	Ella tiene descuento con nosotros.
lesson7_phrase_46	Él no trae encima el pasaporte.
lesson7_phrase_47	Tenemos toda la documentación necesaria.
lesson7_phrase_48	Tienen guía de ciudad y mapa.
lesson7_phrase_49	No tengo tiempo para un café.
lesson7_phrase_50	Ella tiene buenas noticias.
lesson8_phrase_1	Trabajo los lunes.
lesson8_phrase_2	Ella sale a las ocho en punto.
lesson8_phrase_3	Descansamos en julio.
lesson8_phrase_4	Él paga el fin de semana.
lesson8_phrase_5	Llaman ellos por la mañana.
lesson8_phrase_6	Él tiene reunión al mediodía.
lesson8_phrase_7	Pagas en efectivo el viernes.
lesson8_phrase_8	La tienda cierra a medianoche.
lesson8_phrase_9	Viajamos en invierno.
lesson8_phrase_10	Pasean al atardecer.
lesson8_phrase_11	Yo empiezo a trabajar a las nueve.
lesson8_phrase_12	El tren llega a las siete de la tarde.
lesson8_phrase_13	Hacemos deporte los martes.
lesson8_phrase_14	Ella mira el correo de noche.
lesson8_phrase_15	Se relajan en agosto.
lesson8_phrase_16	Reservo hotel en junio.
lesson8_phrase_17	Quedamos a las nueve y media.
lesson8_phrase_18	Ella trabaja los jueves.
lesson8_phrase_19	Piden la cena por la tarde.
lesson8_phrase_20	Él tiene vacaciones en primavera.
lesson8_phrase_21	Llego a casa a medianoche.
lesson8_phrase_22	El tren sale a las diez y cuarto.
lesson8_phrase_23	Los domingos paseamos en el parque.
lesson8_phrase_24	Desayuna por la mañana.
lesson8_phrase_25	Compran el sábado.
lesson8_phrase_26	Tienen clase los martes.
lesson8_phrase_27	Almorzamos a la una.
lesson8_phrase_28	Va al gimnasio los miércoles.
lesson8_phrase_29	Cenan ellos a las ocho.
lesson8_phrase_30	Él tiene el sábado libre.
lesson8_phrase_31	Se ducha a las ocho.
lesson8_phrase_32	Pagamos el alquiler en enero.
lesson8_phrase_33	Termina el trabajo a las cinco de la tarde.
lesson8_phrase_34	Se ven los fines de semana.
lesson8_phrase_35	Él cumple años en octubre.
lesson8_phrase_36	Escucho música a las seis.
lesson8_phrase_37	¿Tiene tiempo ella el viernes?
lesson8_phrase_38	Ella corre en el parque en verano.
lesson8_phrase_39	Viajamos en mayo.
lesson8_phrase_40	Él revisa los papeles de noche.
lesson8_phrase_41	Compro billetes en marzo.
lesson8_phrase_42	Llama a su madre los lunes.
lesson8_phrase_43	Tomamos té por la tarde.
lesson8_phrase_44	¿Tiene él trabajo en septiembre?
lesson8_phrase_45	Llegan el jueves.
lesson8_phrase_46	Me levanto a las siete.
lesson8_phrase_47	El autobús llega a las dos de la tarde.
lesson8_phrase_48	Pedimos pizza los sábados.
lesson8_phrase_49	Ella tiene reunión en diciembre.
lesson8_phrase_50	Leen libros en enero.
