"post_id","format","style","caption"
"011","diagnosis_ru_learner","dark_drama","Английский вроде есть, но на собеседовании речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"012","meant_vs_heard","cream_editorial","На английском ты хотел попросить повторить, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"013","english_emergency_kit","cream_editorial","В английском разговоре нужна не теория, а набор фраз для ситуации: если нужно мягко пожаловаться. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"014","live_situation_breakdown","cream_editorial","Реальная ситуация на английском: арендодатель игнорирует ремонт. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"015","textbook_vs_real_english","dark_drama","На английском I feel myself bad выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"016","diagnosis_ru_learner","dark_drama","Английский вроде есть, но в банке речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"017","meant_vs_heard","dark_drama","На английском ты хотел сказать, что не понял, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"018","english_emergency_kit","cream_editorial","В английском разговоре нужна не теория, а набор фраз для ситуации: если надо говорить с врачом. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"019","live_situation_breakdown","cream_editorial","Реальная ситуация на английском: на работе дедлайн нереальный. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"020","textbook_vs_real_english","cream_editorial","На английском How is it called? выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"021","diagnosis_ru_learner","dark_drama","Английский вроде есть, но с арендодателем речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"022","meant_vs_heard","cream_editorial","На английском ты хотел попросить скидку, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"023","english_emergency_kit","cream_editorial","В английском разговоре нужна не теория, а набор фраз для ситуации: если надо написать арендодателю. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"024","live_situation_breakdown","cream_editorial","Реальная ситуация на английском: в кафе принесли не то. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"025","textbook_vs_real_english","dark_drama","На английском I am agree выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"026","diagnosis_ru_learner","dark_drama","Английский вроде есть, но в аэропорту речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"027","meant_vs_heard","dark_drama","На английском ты хотел напомнить о задаче, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"028","english_emergency_kit","cream_editorial","В английском разговоре нужна не теория, а набор фраз для ситуации: если на работе надо не согласиться. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"029","live_situation_breakdown","cream_editorial","Реальная ситуация на английском: в отеле не работает карта. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"030","textbook_vs_real_english","cream_editorial","На английском I have 30 years выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"031","diagnosis_ru_learner","dark_drama","Английский вроде есть, но в small talk речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"032","meant_vs_heard","cream_editorial","На английском ты хотел попросить подождать, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"033","english_emergency_kit","cream_editorial","В английском разговоре нужна не теория, а набор фраз для ситуации: если в банке списали деньги. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"034","live_situation_breakdown","cream_editorial","Реальная ситуация на английском: на собеседовании не понял вопрос. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"035","textbook_vs_real_english","dark_drama","На английском I wait you выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"036","diagnosis_ru_learner","dark_drama","Английский вроде есть, но в чате на работе речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"037","meant_vs_heard","dark_drama","На английском ты хотел поправить ошибку, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"038","english_emergency_kit","cream_editorial","В английском разговоре нужна не теория, а набор фраз для ситуации: если в аэропорту всё поменялось. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"039","live_situation_breakdown","cream_editorial","Реальная ситуация на английском: в школе надо поговорить с учителем. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"040","textbook_vs_real_english","cream_editorial","На английском Make photo выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"041","diagnosis_ru_learner","dark_drama","Английский вроде есть, но в кафе речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"042","meant_vs_heard","cream_editorial","На английском ты хотел сказать, что занята, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"043","english_emergency_kit","cream_editorial","В английском разговоре нужна не теория, а набор фраз для ситуации: если в магазине надо вернуть товар. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"044","live_situation_breakdown","cream_editorial","Реальная ситуация на английском: в customer support нужна компенсация. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"045","textbook_vs_real_english","dark_drama","На английском Open me the door выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"046","diagnosis_ru_learner","dark_drama","Английский вроде есть, но в школе у ребёнка речь внезапно пропадает. Главный сдвиг: нужны готовые фразы-мостики, которые можно произнести сразу. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"047","meant_vs_heard","dark_drama","На английском ты хотел попросить объяснить проще, но дословная фраза меняет тон. Главный сдвиг: заменяй прямую команду на мягкую конструкцию, чтобы звучать взросло и спокойно. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"048","english_emergency_kit","cream_editorial","В английском разговоре нужна не теория, а набор фраз для ситуации: если в разговоре страшно начать. Главный сдвиг: выучи не одно слово, а короткий сценарий из 3-5 фраз. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"049","live_situation_breakdown","cream_editorial","Реальная ситуация на английском: в рабочем чате нужно уточнить задачу. Главный сдвиг: говори не одним резким предложением, а маленькой цепочкой: вход, детали, просьба. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
"050","textbook_vs_real_english","cream_editorial","На английском I need to go on job выдаёт перевод с русского. Главный сдвиг: не переводи конструкцию дословно, запоминай живую формулу целиком. Phraseman — мобильное приложение для живого английского: готовые фразы по реальным ситуациям, озвучка, короткие уроки и объяснения по-русски. Не игра ради очков — практика для разговора. Скачивай бесплатно по ссылке в шапке профиля."
