"id","type","hook","text","duration_sec","opening_frame","retention_device","why_viral"
"vr_011","roleplay_sketch","Тот самый момент, когда аэропорт, а ты переводишь с русского","Тот самый момент, когда аэропорт, а ты переводишь с русского

Скетч:
Русская мысль: Where I go?
Внутренний голос: звучит слишком резко.
Нормальный английский: Has the gate changed?
Если нужно мягче: Is the flight delayed?

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""Where I go?""","","узнавание; комедийная роль; легко отправить другу"
"vr_012","roleplay_sketch","Тот самый момент, когда отель, а ты переводишь с русского","Тот самый момент, когда отель, а ты переводишь с русского

Скетч:
Русская мысль: My room is bad.
Внутренний голос: звучит слишком резко.
Нормальный английский: There seems to be a problem with my room.
Если нужно мягче: The key card isn't working.

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""My room is bad.""","","узнавание; комедийная роль; легко отправить другу"
"vr_013","roleplay_sketch","Тот самый момент, когда телефонный звонок, а ты переводишь с русского","Тот самый момент, когда телефонный звонок, а ты переводишь с русского

Скетч:
Русская мысль: I don't hear.
Внутренний голос: звучит слишком резко.
Нормальный английский: Sorry, the line is breaking up.
Если нужно мягче: Could you repeat the last part?

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""I don't hear.""","","узнавание; комедийная роль; легко отправить другу"
"vr_014","roleplay_sketch","Тот самый момент, когда банк, а ты переводишь с русского","Тот самый момент, когда банк, а ты переводишь с русского

Скетч:
Русская мысль: You took my money.
Внутренний голос: звучит слишком резко.
Нормальный английский: I don't recognize this charge.
Если нужно мягче: Could you check the details?

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""You took my money.""","","узнавание; комедийная роль; легко отправить другу"
"vr_015","roleplay_sketch","Тот самый момент, когда собеседование, а ты переводишь с русского","Тот самый момент, когда собеседование, а ты переводишь с русского

Скетч:
Русская мысль: I have experience.
Внутренний голос: звучит слишком резко.
Нормальный английский: My main experience is in...
Если нужно мягче: I was responsible for...

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""I have experience.""","","узнавание; комедийная роль; легко отправить другу"
"vr_016","roleplay_sketch","Тот самый момент, когда документы, а ты переводишь с русского","Тот самый момент, когда документы, а ты переводишь с русского

Скетч:
Русская мысль: What papers need?
Внутренний голос: звучит слишком резко.
Нормальный английский: Which documents do I need to provide?
Если нужно мягче: Is a copy enough?

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""What papers need?""","","узнавание; комедийная роль; легко отправить другу"
"vr_017","roleplay_sketch","Тот самый момент, когда врач, а ты переводишь с русского","Тот самый момент, когда врач, а ты переводишь с русского

Скетч:
Русская мысль: I have pain.
Внутренний голос: звучит слишком резко.
Нормальный английский: It hurts here.
Если нужно мягче: It started yesterday.

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""I have pain.""","","узнавание; комедийная роль; легко отправить другу"
"vr_018","roleplay_sketch","Тот самый момент, когда small talk, а ты переводишь с русского","Тот самый момент, когда small talk, а ты переводишь с русского

Скетч:
Русская мысль: Normal.
Внутренний голос: звучит слишком резко.
Нормальный английский: Pretty good, thanks.
Если нужно мягче: Can't complain.

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""Normal.""","","узнавание; комедийная роль; легко отправить другу"
"vr_019","roleplay_sketch","Тот самый момент, когда возврат денег, а ты переводишь с русского","Тот самый момент, когда возврат денег, а ты переводишь с русского

Скетч:
Русская мысль: Give me my money back.
Внутренний голос: звучит слишком резко.
Нормальный английский: I'd like to request a refund.
Если нужно мягче: The issue hasn't been resolved.

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""Give me my money back.""","","узнавание; комедийная роль; легко отправить другу"
"vr_020","roleplay_sketch","Тот самый момент, когда рабочий звонок, а ты переводишь с русского","Тот самый момент, когда рабочий звонок, а ты переводишь с русского

Скетч:
Русская мысль: I don't know.
Внутренний голос: звучит слишком резко.
Нормальный английский: Let me check that.
Если нужно мягче: I need a minute to think.

Такой формат цепляет не потому, что он смешной сам по себе.
Он цепляет, потому что человек узнаёт свой стыд и получает выход.","35","Низко-полированный живой кадр, подпись: ""I don't know.""","","узнавание; комедийная роль; легко отправить другу"
"vr_021","native_surprise","Английский странный: почему не ""I very like it"", а ""I really like it.""?","Английский странный: почему не ""I very like it"", а ""I really like it.""?

Русская логика говорит: I very like it
Живой английский говорит: I really like it.

Почему: very не усиливает глагол напрямую.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""I very like it"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"vr_022","native_surprise","Английский странный: почему не ""I wait you"", а ""I'll wait for you.""?","Английский странный: почему не ""I wait you"", а ""I'll wait for you.""?

Русская логика говорит: I wait you
Живой английский говорит: I'll wait for you.

Почему: wait почти всегда требует for перед человеком.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""I wait you"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"vr_023","native_surprise","Английский странный: почему не ""Open me the door"", а ""Open the door for me.""?","Английский странный: почему не ""Open me the door"", а ""Open the door for me.""?

Русская логика говорит: Open me the door
Живой английский говорит: Open the door for me.

Почему: for me уходит в конец.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""Open me the door"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"vr_024","native_surprise","Английский странный: почему не ""Discuss about it"", а ""Discuss it.""?","Английский странный: почему не ""Discuss about it"", а ""Discuss it.""?

Русская логика говорит: Discuss about it
Живой английский говорит: Discuss it.

Почему: discuss уже включает идею about.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""Discuss about it"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"vr_025","native_surprise","Английский странный: почему не ""I didn't went"", а ""I didn't go.""?","Английский странный: почему не ""I didn't went"", а ""I didn't go.""?

Русская логика говорит: I didn't went
Живой английский говорит: I didn't go.

Почему: после didn't глагол возвращается в базовую форму.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""I didn't went"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"vr_026","native_surprise","Английский странный: почему не ""Advices"", а ""Advice.""?","Английский странный: почему не ""Advices"", а ""Advice.""?

Русская логика говорит: Advices
Живой английский говорит: Advice.

Почему: advice обычно неисчисляемое.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""Advices"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"vr_027","native_surprise","Английский странный: почему не ""How is it called?"", а ""What is it called?""?","Английский странный: почему не ""How is it called?"", а ""What is it called?""?

Русская логика говорит: How is it called?
Живой английский говорит: What is it called?

Почему: русская конструкция переносится в английский.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""How is it called?"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"vr_028","native_surprise","Английский странный: почему не ""Make a photo"", а ""Take a photo.""?","Английский странный: почему не ""Make a photo"", а ""Take a photo.""?

Русская логика говорит: Make a photo
Живой английский говорит: Take a photo.

Почему: фото по-английски не делают, а берут.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""Make a photo"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"vr_029","native_surprise","Английский странный: почему не ""I have 30 years"", а ""I'm 30.""?","Английский странный: почему не ""I have 30 years"", а ""I'm 30.""?

Русская логика говорит: I have 30 years
Живой английский говорит: I'm 30.

Почему: возраст в английском — состояние, а не possession.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""I have 30 years"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
"vr_030","native_surprise","Английский странный: почему не ""I live here 5 years"", а ""I've lived here for 5 years.""?","Английский странный: почему не ""I live here 5 years"", а ""I've lived here for 5 years.""?

Русская логика говорит: I live here 5 years
Живой английский говорит: I've lived here for 5 years.

Почему: срок до настоящего момента требует present perfect.

Это тот тип поста, который хочется переслать: вроде мелочь, но мозг щёлкает.","18","Крупный текст: ""I live here 5 years"" зачёркнуто","сначала конфликт с русской логикой, потом быстрый ответ","когнитивный щелчок; английский кажется нелогичным; короткое объяснение"
