index|english|ipa|russian|topic
70|I feel good.|/aɪ fiːl ɡʊd/|Я хорошо себя чувствую.|daily_life
71|I feel cold.|/aɪ fiːl koʊld/|Мне холодно.|daily_life
72|I feel warm.|/aɪ fiːl wɔːrm/|Мне тепло.|daily_life
73|I'm bored.|/aɪm bɔːrd/|Мне скучно.|daily_life
74|I'm excited.|/aɪm ɪkˈsaɪtɪd/|Я взволнован.|daily_life
75|I'm nervous.|/aɪm ˈnɜːrvəs/|Я нервничаю.|daily_life
76|I'm surprised.|/aɪm sərˈpraɪzd/|Я удивлён.|daily_life
77|I'm worried.|/aɪm ˈwɜːrid/|Я волнуюсь.|daily_life
78|I'm proud.|/aɪm praʊd/|Я горжусь.|daily_life
79|I'm lucky.|/aɪm ˈlʌki/|Мне повезло.|daily_life
80|I'm okay now.|/aɪm oʊˈkeɪ naʊ/|Теперь я в порядке.|daily_life
81|Where do you live?|/wer duː juː lɪv/|Где ты живёшь?|about_you
82|I live nearby.|/aɪ lɪv ˌnɪrˈbaɪ/|Я живу рядом.|about_you
83|I live alone.|/aɪ lɪv əˈloʊn/|Я живу один.|about_you
84|I live with family.|/aɪ lɪv wɪð ˈfæməli/|Я живу с семьёй.|about_you
85|I have a job.|/aɪ hæv ə dʒɑːb/|У меня есть работа.|about_you
86|I study here.|/aɪ ˈstʌdi hɪr/|Я учусь здесь.|about_you
87|I work here.|/aɪ wɜːrk hɪr/|Я работаю здесь.|about_you
88|I work from home.|/aɪ wɜːrk frəm hoʊm/|Я работаю из дома.|about_you
89|I'm a student.|/aɪm ə ˈstuːdənt/|Я студент.|about_you
90|I'm a teacher.|/aɪm ə ˈtiːtʃər/|Я учитель.|about_you
91|I'm a beginner.|/aɪm ə bɪˈɡɪnər/|Я новичок.|about_you
92|I speak slowly.|/aɪ spiːk ˈsloʊli/|Я говорю медленно.|learning
93|I understand English.|/aɪ ˌʌndərˈstænd ˈɪŋɡlɪʃ/|Я понимаю английский.|learning
94|I learn every day.|/aɪ lɜːrn ˈevri deɪ/|Я учусь каждый день.|learning
95|I practice at home.|/aɪ ˈpræktɪs æt hoʊm/|Я занимаюсь дома.|learning
96|I use an app.|/aɪ juːz ən æp/|Я использую приложение.|learning
97|I watch videos.|/aɪ wɑːtʃ ˈvɪdioʊz/|Я смотрю видео.|learning
98|I read books.|/aɪ riːd bʊks/|Я читаю книги.|learning
99|I write notes.|/aɪ raɪt noʊts/|Я делаю записи.|learning
100|I ask questions.|/aɪ æsk ˈkwestʃənz/|Я задаю вопросы.|learning
101|Can I ask?|/kæn aɪ æsk/|Можно спросить?|learning
102|Can you repeat that?|/kæn juː rɪˈpiːt ðæt/|Можешь это повторить?|learning
103|Can you show me?|/kæn juː ʃoʊ miː/|Можешь мне показать?|learning
104|Can you explain?|/kæn juː ɪkˈspleɪn/|Можешь объяснить?|learning
105|Can you help me?|/kæn juː help miː/|Можешь мне помочь?|learning
106|Please help me.|/pliːz help miː/|Пожалуйста, помоги мне.|learning
107|I need practice.|/aɪ niːd ˈpræktɪs/|Мне нужна практика.|learning
108|I need a break.|/aɪ niːd ə breɪk/|Мне нужен перерыв.|learning
109|I need more time.|/aɪ niːd mɔːr taɪm/|Мне нужно больше времени.|learning
110|I have an idea.|/aɪ hæv ən aɪˈdiːə/|У меня есть идея.|learning
111|What is this called?|/wʌt ɪz ðɪs kɔːld/|Как это называется?|learning
112|How do you say it?|/haʊ duː juː seɪ ɪt/|Как это сказать?|learning
113|How do you spell it?|/haʊ duː juː spel ɪt/|Как это пишется?|learning
114|Can you write it?|/kæn juː raɪt ɪt/|Можешь это написать?|learning
115|Can you read it?|/kæn juː riːd ɪt/|Можешь это прочитать?|learning
116|Is that correct?|/ɪz ðæt kəˈrekt/|Это правильно?|learning
117|Is this right?|/ɪz ðɪs raɪt/|Это верно?|learning
118|What should I say?|/wʌt ʃʊd aɪ seɪ/|Что мне сказать?|learning
119|Please correct me.|/pliːz kəˈrekt miː/|Пожалуйста, исправь меня.|learning
120|I made a mistake.|/aɪ meɪd ə mɪˈsteɪk/|Я ошибся.|learning
121|I don't remember.|/aɪ doʊnt rɪˈmembər/|Я не помню.|learning
122|I remember now.|/aɪ rɪˈmembər naʊ/|Теперь я помню.|learning
123|I forgot.|/aɪ fərˈɡɑːt/|Я забыл.|learning
124|I know this word.|/aɪ noʊ ðɪs wɜːrd/|Я знаю это слово.|learning
125|I need this word.|/aɪ niːd ðɪs wɜːrd/|Мне нужно это слово.|learning
126|What is the answer?|/wʌt ɪz ði ˈænsər/|Какой ответ?|learning
127|That's the answer.|/ðæts ði ˈænsər/|Это ответ.|learning
128|Which one?|/wɪtʃ wʌn/|Который?|learning
129|This one.|/ðɪs wʌn/|Этот.|learning
130|That one.|/ðæt wʌn/|Тот.|learning
131|Can I pay?|/kæn aɪ peɪ/|Можно оплатить?|shopping
132|I want to pay.|/aɪ wɑːnt tə peɪ/|Я хочу заплатить.|shopping
133|Do you take cards?|/duː juː teɪk kɑːrdz/|Вы принимаете карты?|shopping
134|Can I use cash?|/kæn aɪ juːz kæʃ/|Можно заплатить наличными?|shopping
135|Keep the change.|/kiːp ðə tʃeɪndʒ/|Сдачи не надо.|shopping
136|Here you are.|/hɪr juː ɑːr/|Вот, пожалуйста.|shopping
137|Here is my card.|/hɪr ɪz maɪ kɑːrd/|Вот моя карта.|shopping
138|I need a receipt.|/aɪ niːd ə rɪˈsiːt/|Мне нужен чек.|shopping
139|Is tax included?|/ɪz tæks ɪnˈkluːdɪd/|Налог включён?|shopping
140|Is service included?|/ɪz ˈsɜːrvɪs ɪnˈkluːdɪd/|Обслуживание включено?|shopping
141|The menu, please.|/ðə ˈmenjuː pliːz/|Меню, пожалуйста.|food
142|A table for two.|/ə ˈteɪbəl fɔːr tuː/|Столик на двоих.|food
143|Is this seat free?|/ɪz ðɪs siːt friː/|Это место свободно?|food
144|Can I sit here?|/kæn aɪ sɪt hɪr/|Можно здесь сесть?|food
145|I have a reservation.|/aɪ hæv ə ˌrezərˈveɪʃən/|У меня есть бронь.|food
146|My order, please.|/maɪ ˈɔːrdər pliːz/|Мой заказ, пожалуйста.|food
147|I'd like to have breakfast.|/aɪd laɪk tə hæv ˈbrekfəst/|Я бы хотел позавтракать.|food
148|I'd like to have lunch.|/aɪd laɪk tə hæv lʌntʃ/|Я бы хотел пообедать.|food
149|I'd like to have dinner.|/aɪd laɪk tə hæv ˈdɪnər/|Я бы хотел поужинать.|food
150|I'd like a coffee.|/aɪd laɪk ə ˈkɔːfi/|Я бы хотел кофе.|food
151|Still water, please.|/stɪl ˈwɔːtər pliːz/|Негазированную воду, пожалуйста.|food
152|Sparkling water, please.|/ˈspɑːrklɪŋ ˈwɔːtər pliːz/|Газированную воду, пожалуйста.|food
153|No ice, please.|/noʊ aɪs pliːz/|Без льда, пожалуйста.|food
154|No meat, please.|/noʊ miːt pliːz/|Без мяса, пожалуйста.|food
155|No cheese, please.|/noʊ tʃiːz pliːz/|Без сыра, пожалуйста.|food
156|I'm vegetarian.|/aɪm ˌvedʒəˈteriən/|Я вегетарианец.|food
157|Is it spicy?|/ɪz ɪt ˈspaɪsi/|Это острое?|food
158|Not too spicy.|/nɑːt tuː ˈspaɪsi/|Не слишком острое.|food
159|It tastes good.|/ɪt teɪsts ɡʊd/|Это вкусно.|food
160|I'm full.|/aɪm fʊl/|Я сыт.|food
161|Where is the station?|/wer ɪz ðə ˈsteɪʃən/|Где станция?|travel
162|Where is the bus stop?|/wer ɪz ðə ˈbʌs stɑːp/|Где автобусная остановка?|travel
163|Where is the airport?|/wer ɪz ði ˈerpɔːrt/|Где аэропорт?|travel
164|Where is the hotel?|/wer ɪz ðə hoʊˈtel/|Где отель?|travel
165|Where is the toilet?|/wer ɪz ðə ˈtɔɪlət/|Где туалет?|travel
166|Is it far?|/ɪz ɪt fɑːr/|Это далеко?|travel
167|Is it near?|/ɪz ɪt nɪr/|Это близко?|travel
168|How can I get there?|/haʊ kæn aɪ ɡet ðer/|Как туда добраться?|travel
169|Which bus?|/wɪtʃ bʌs/|Какой автобус?|travel
170|Which train?|/wɪtʃ treɪn/|Какой поезд?|travel
171|What time is it?|/wʌt taɪm ɪz ɪt/|Который час?|travel
172|What time does it leave?|/wʌt taɪm dʌz ɪt liːv/|Во сколько оно отправляется?|travel
173|What time does it arrive?|/wʌt taɪm dʌz ɪt əˈraɪv/|Во сколько оно прибывает?|travel
174|When is the next bus?|/wen ɪz ðə nekst bʌs/|Когда следующий автобус?|travel
175|I need a ticket.|/aɪ niːd ə ˈtɪkɪt/|Мне нужен билет.|travel
176|One ticket, please.|/wʌn ˈtɪkɪt pliːz/|Один билет, пожалуйста.|travel
177|A return ticket, please.|/ə rɪˈtɜːrn ˈtɪkɪt pliːz/|Билет туда и обратно, пожалуйста.|travel
178|To the city center, please.|/tə ðə ˈsɪti ˈsentər pliːz/|До центра города, пожалуйста.|travel
179|Which platform?|/wɪtʃ ˈplætfɔːrm/|Какая платформа?|travel
180|Is this my train?|/ɪz ðɪs maɪ treɪn/|Это мой поезд?|travel
181|Does this bus stop here?|/dʌz ðɪs bʌs stɑːp hɪr/|Этот автобус останавливается здесь?|travel
182|Please stop here.|/pliːz stɑːp hɪr/|Пожалуйста, остановите здесь.|travel
183|I missed the bus.|/aɪ mɪst ðə bʌs/|Я пропустил автобус.|travel
184|The train is late.|/ðə treɪn ɪz leɪt/|Поезд опаздывает.|travel
185|The flight is delayed.|/ðə flaɪt ɪz dɪˈleɪd/|Рейс задерживается.|travel
186|I need a taxi.|/aɪ niːd ə ˈtæksi/|Мне нужно такси.|travel
187|Please call a taxi.|/pliːz kɔːl ə ˈtæksi/|Пожалуйста, вызовите такси.|travel
188|Can you take me there?|/kæn juː teɪk miː ðer/|Можете отвезти меня туда?|travel
189|How long does it take?|/haʊ lɔːŋ dʌz ɪt teɪk/|Сколько это занимает?|travel
190|I am lost.|/aɪ æm lɔːst/|Я заблудился.|travel
191|I need a room.|/aɪ niːd ə ruːm/|Мне нужен номер.|hotel
192|I have a booking.|/aɪ hæv ə ˈbʊkɪŋ/|У меня есть бронирование.|hotel
193|One night, please.|/wʌn naɪt pliːz/|На одну ночь, пожалуйста.|hotel
194|Two nights, please.|/tuː naɪts pliːz/|На две ночи, пожалуйста.|hotel
195|What is the wifi password?|/wʌt ɪz ðə ˈwaɪfaɪ ˈpæswɜːrd/|Какой пароль от вайфая?|hotel
196|Does it have wifi?|/dʌz ɪt hæv ˈwaɪfaɪ/|Здесь есть вайфай?|hotel
197|The key, please.|/ðə kiː pliːz/|Ключ, пожалуйста.|hotel
198|My room number?|/maɪ ruːm ˈnʌmbər/|Какой у меня номер?|hotel
199|Is breakfast included?|/ɪz ˈbrekfəst ɪnˈkluːdɪd/|Завтрак включён?|hotel
200|I want to check out.|/aɪ wɑːnt tə tʃek aʊt/|Я хочу выехать.|hotel
201|I need to buy this.|/aɪ niːd tə baɪ ðɪs/|Мне нужно это купить.|shopping
202|I'm just looking.|/aɪm dʒʌst ˈlʊkɪŋ/|Я просто смотрю.|shopping
203|Can I try it on?|/kæn aɪ traɪ ɪt ɑːn/|Можно примерить?|shopping
204|Do you have this size?|/duː juː hæv ðɪs saɪz/|У вас есть этот размер?|shopping
205|Do you have another color?|/duː juː hæv əˈnʌðər ˈkʌlər/|У вас есть другой цвет?|shopping
206|It's too big.|/ɪts tuː bɪɡ/|Это слишком большое.|shopping
207|It's too small.|/ɪts tuː smɔːl/|Это слишком маленькое.|shopping
208|It's too expensive.|/ɪts tuː ɪkˈspensɪv/|Это слишком дорого.|shopping
209|Is there a discount?|/ɪz ðer ə ˈdɪskaʊnt/|Есть скидка?|shopping
210|I'll take it.|/aɪl teɪk ɪt/|Я это возьму.|shopping
211|I'm looking for...|/aɪm ˈlʊkɪŋ fɔːr/|Я ищу...|shopping
212|Do you sell batteries?|/duː juː sel ˈbætəriz/|Вы продаёте батарейки?|shopping
213|I need a charger.|/aɪ niːd ə ˈtʃɑːrdʒər/|Мне нужна зарядка.|phone
214|My phone is dead.|/maɪ foʊn ɪz ded/|У меня сел телефон.|phone
215|My battery is low.|/maɪ ˈbætəri ɪz loʊ/|У меня мало заряда.|phone
216|I have no signal.|/aɪ hæv noʊ ˈsɪɡnəl/|У меня нет сети.|phone
217|Can I use your phone?|/kæn aɪ juːz jʊr foʊn/|Можно воспользоваться твоим телефоном?|phone
218|I need the internet.|/aɪ niːd ði ˈɪntərnet/|Мне нужен интернет.|phone
219|Send me a message.|/send miː ə ˈmesɪdʒ/|Отправь мне сообщение.|phone
220|Call me later.|/kɔːl miː ˈleɪtər/|Позвони мне позже.|phone
221|What's your number?|/wʌts jʊr ˈnʌmbər/|Какой у тебя номер?|phone
222|Here is my number.|/hɪr ɪz maɪ ˈnʌmbər/|Вот мой номер.|phone
223|Please text me.|/pliːz tekst miː/|Напиши мне, пожалуйста.|phone
224|I got your message.|/aɪ ɡɑːt jʊr ˈmesɪdʒ/|Я получил твоё сообщение.|phone
225|Check your email.|/tʃek jʊr ˈiːmeɪl/|Проверь свою почту.|phone
226|I sent an email.|/aɪ sent ən ˈiːmeɪl/|Я отправил письмо.|phone
227|Please send the address.|/pliːz send ði əˈdres/|Пожалуйста, отправь адрес.|phone
228|I can't hear you.|/aɪ kænt hɪr juː/|Я тебя не слышу.|phone
229|I can hear you now.|/aɪ kæn hɪr juː naʊ/|Теперь я тебя слышу.|phone
230|The connection is bad.|/ðə kəˈnekʃən ɪz bæd/|Плохая связь.|phone
231|I need a doctor.|/aɪ niːd ə ˈdɑːktər/|Мне нужен врач.|health
232|I need a pharmacy.|/aɪ niːd ə ˈfɑːrməsi/|Мне нужна аптека.|health
233|Is there a pharmacy nearby?|/ɪz ðer ə ˈfɑːrməsi ˌnɪrˈbaɪ/|Рядом есть аптека?|health
234|I have a headache.|/aɪ hæv ə ˈhedeɪk/|У меня болит голова.|health
235|I have a fever.|/aɪ hæv ə ˈfiːvər/|У меня температура.|health
236|I have a cough.|/aɪ hæv ə kɔːf/|У меня кашель.|health
237|I have an allergy.|/aɪ hæv ən ˈælərdʒi/|У меня аллергия.|health
238|I need medicine.|/aɪ niːd ˈmedɪsɪn/|Мне нужно лекарство.|health
239|I need an ambulance.|/aɪ niːd ən ˈæmbjələns/|Мне нужна скорая помощь.|health
240|It's an emergency.|/ɪts ən ɪˈmɜːrdʒənsi/|Это экстренная ситуация.|health
241|Are you hurt?|/ɑːr juː hɜːrt/|Ты ранен?|health
242|My leg hurts.|/maɪ leɡ hɜːrts/|У меня болит нога.|health
243|My head hurts.|/maɪ hed hɜːrts/|У меня болит голова.|health
244|I need to rest.|/aɪ niːd tə rest/|Мне нужно отдохнуть.|health
245|I feel dizzy.|/aɪ fiːl ˈdɪzi/|У меня кружится голова.|health
246|I need water.|/aɪ niːd ˈwɔːtər/|Мне нужна вода.|health
247|Please stay with me.|/pliːz steɪ wɪð miː/|Пожалуйста, останься со мной.|health
248|Call the police.|/kɔːl ðə pəˈliːs/|Вызови полицию.|emergency
249|I lost my wallet.|/aɪ lɔːst maɪ ˈwɑːlət/|Я потерял кошелёк.|emergency
250|My bag is missing.|/maɪ bæɡ ɪz ˈmɪsɪŋ/|Моя сумка пропала.|emergency
251|I lost my passport.|/aɪ lɔːst maɪ ˈpæspɔːrt/|Я потерял паспорт.|emergency
252|I need help now.|/aɪ niːd help naʊ/|Мне нужна помощь сейчас.|emergency
253|Can you speak slowly?|/kæn juː spiːk ˈsloʊli/|Можешь говорить медленнее?|clarification
254|Can you say that again?|/kæn juː seɪ ðæt əˈɡen/|Можешь сказать это ещё раз?|clarification
255|I didn't catch that.|/aɪ ˈdɪdənt kætʃ ðæt/|Я не расслышал.|clarification
256|What do you mean?|/wʌt duː juː miːn/|Что ты имеешь в виду?|clarification
257|I mean this.|/aɪ miːn ðɪs/|Я имею в виду это.|clarification
258|That's not what I mean.|/ðæts nɑːt wʌt aɪ miːn/|Я не это имею в виду.|clarification
259|Let me think.|/let miː θɪŋk/|Дай мне подумать.|clarification
260|Give me a second.|/ɡɪv miː ə ˈsekənd/|Дай мне секунду.|clarification
261|I have a plan.|/aɪ hæv ə plæn/|У меня есть план.|plans
262|Let's do it.|/lets duː ɪt/|Давай сделаем это.|plans
263|Let's go together.|/lets ɡoʊ təˈɡeðər/|Давай пойдём вместе.|plans
264|Maybe later.|/ˈmeɪbi ˈleɪtər/|Может, позже.|plans
265|Not today.|/nɑːt təˈdeɪ/|Не сегодня.|plans
266|Maybe tomorrow.|/ˈmeɪbi təˈmɑːroʊ/|Может, завтра.|plans
267|I'm not ready yet.|/aɪm nɑːt ˈredi jet/|Я ещё не готов.|plans
268|I'm almost ready.|/aɪm ˈɔːlmoʊst ˈredi/|Я почти готов.|plans
269|I'm on my way.|/aɪm ɑːn maɪ weɪ/|Я уже в пути.|plans
270|I'm waiting outside.|/aɪm ˈweɪtɪŋ ˌaʊtˈsaɪd/|Я жду снаружи.|plans
271|Meet me there.|/miːt miː ðer/|Встреть меня там.|plans
272|Meet me at six.|/miːt miː æt sɪks/|Встреть меня в шесть.|plans
273|See you later.|/siː juː ˈleɪtər/|Увидимся позже.|plans
274|Have fun.|/hæv fʌn/|Повеселись.|social
275|Enjoy your meal.|/ɪnˈdʒɔɪ jʊr miːl/|Приятного аппетита.|social
276|Good to know.|/ɡʊd tə noʊ/|Полезно знать.|social
277|That's useful.|/ðæts ˈjuːsfəl/|Это полезно.|social
278|That's enough.|/ðæts ɪˈnʌf/|Этого достаточно.|social
279|One more question.|/wʌn mɔːr ˈkwestʃən/|Ещё один вопрос.|social
280|I have good news.|/aɪ hæv ɡʊd nuːz/|У меня хорошие новости.|social
281|I have bad news.|/aɪ hæv bæd nuːz/|У меня плохие новости.|social
282|Congratulations!|/kənˌɡrætʃəˈleɪʃənz/|Поздравляю!|social
283|Happy birthday!|/ˈhæpi ˈbɜːrθdeɪ/|С днём рождения!|social
284|Thank you very much.|/θæŋk juː ˈveri mʌtʃ/|Большое спасибо.|social
285|You're welcome.|/jʊr ˈwelkəm/|Пожалуйста.|social
286|Excuse us.|/ɪkˈskjuːz ʌs/|Простите нас.|social
287|Please come in.|/pliːz kʌm ɪn/|Пожалуйста, входите.|social
288|Please go ahead.|/pliːz ɡoʊ əˈhed/|Пожалуйста, проходите.|social
289|After you.|/ˈæftər juː/|После вас.|social
290|Be my guest.|/biː maɪ ɡest/|Пожалуйста, не стесняйтесь.|social
291|It is raining outside.|/ɪt ɪz ˈreɪnɪŋ ˌaʊtˈsaɪd/|На улице идёт дождь.|weather
292|The weather is nice.|/ðə ˈweðər ɪz naɪs/|Погода хорошая.|weather
293|It's very hot.|/ɪts ˈveri hɑːt/|Очень жарко.|weather
294|It's very cold.|/ɪts ˈveri koʊld/|Очень холодно.|weather
295|It is cloudy.|/ɪt ɪz ˈklaʊdi/|Облачно.|weather
296|It's windy outside.|/ɪts ˈwɪndi ˌaʊtˈsaɪd/|На улице ветрено.|weather
297|I love this place.|/aɪ lʌv ðɪs pleɪs/|Я люблю это место.|social
298|This is beautiful.|/ðɪs ɪz ˈbjuːtɪfəl/|Это красиво.|social
299|Have a safe trip.|/hæv ə seɪf trɪp/|Счастливого пути.|travel
300|See you next time.|/siː juː nekst taɪm/|Увидимся в следующий раз.|social
