video|slot|role|phrase_en|translation_ru|note
15|4|phrasal|Cut out|Исключи|remove item scene scissors paper
15|5|phrasal|Leave behind|Оставь позади|move on scene suitcase
16|1|hook|Sound casual|Звучи проще|direct hook scene casual talk
16|2|phrasal|Hang out|Потусим|friends relaxing scene cafe
16|3|bait|Ask out|Позови на свиданку|not ask outside scene date invite
16|4|phrasal|Go out|Сходи куда-то|social plan scene city night
16|5|phrasal|Stay in|Останься дома|home evening scene sofa
17|1|hook|Say naturally|Скажи живо|direct hook scene speech
17|2|phrase|I'm off|Я пошел|leaving scene door coat
17|3|bait|Head out|Выдвигайся|not head outside scene leaving
17|4|phrasal|Get back|Вернись|return scene door
17|5|phrasal|Come back|Возвращайся|return scene train door
18|1|hook|Small upgrade|Малый апгрейд|direct hook scene phone improvement
18|2|phrase|Right away|Прямо сейчас|immediate action scene clock
18|3|bait|Hold on|Подожди|not hold object scene wait hand
18|4|phrasal|Hang on|Погоди|wait scene phone call
18|5|phrasal|Move ahead|Двигай дальше|progress scene arrow planning
19|1|hook|Use daily|На каждый день|direct hook scene daily routine
19|2|phrasal|Wake up|Проснись|morning alarm scene bed
19|3|bait|Sleep in|Проспи дольше|not sleep inside scene morning bed
19|4|phrasal|Warm up|Разомнись|exercise start scene gym
19|5|phrasal|Cool down|Остынь|after workout scene water
20|1|hook|Talk smoother|Говори плавней|direct hook scene speaking flow
20|2|phrasal|Slow down|Помедленней|pace control scene hand stop
20|3|bait|Speed up|Ускорься|not speed upward scene treadmill timer
20|4|phrasal|Cut down|Сократи|reduce habit scene coffee snacks
20|5|phrasal|Keep up|Не отставай|follow pace scene running group
21|1|hook|Useful phrase|Полезная фраза|direct hook scene notebook
21|2|phrase|Let me know|Дай знать|message scene phone
21|3|bait|Find out|Выясни|not find outside scene laptop search
21|4|phrasal|Look into|Проверь глубже|investigate scene documents
21|5|phrasal|Dig into|Копни глубже|research scene files desk
22|1|hook|Don't panic|Без паники|direct hook scene calm breathing
22|2|phrase|Take it easy|Полегче|calm phrase scene relaxed friend
22|3|bait|Chill out|Расслабься|not cold outside scene sofa calm
22|4|phrasal|Cheer up|Не грусти|comfort scene friend smile
22|5|phrasal|Lighten up|Будь проще|mood shift scene smiling group
23|1|hook|Better answer|Ответь лучше|direct hook scene chat reply
23|2|phrase|Absolutely not|Точно нет|clear refusal scene hand no
23|3|bait|Hold back|Сдержись|not hold behind scene self control
23|4|phrasal|Turn down|Откажи|decline offer scene phone email
23|5|phrase|I'm good|Мне норм|refusal polite scene cafe
24|1|hook|Less textbook|Не как учебник|direct hook scene book correction
24|2|phrase|Kind of|Типа того|softener scene conversation
24|3|bait|Go on|Продолжай|not go physically scene listening
24|4|phrasal|Carry on|Продолжай|continue task scene laptop
24|5|phrase|That's fine|Все норм|acceptance scene thumbs up
25|1|hook|More human|Живее|direct hook scene human conversation
25|2|phrasal|Pull over|Прижмись|car roadside scene driving
25|3|bait|Pull off|Справиться|not pull clothes off scene success
25|4|phrasal|Pull through|Выкарабкайся|recover scene hospital friend
25|5|phrasal|Push through|Дожми|effort scene workout
26|1|hook|Speak today|Говори сегодня|direct hook scene speaking practice
26|2|phrase|I mean it|Я серьезно|serious tone scene direct look
26|3|bait|Mean well|Хотеть добра|not mean good grammar scene helping
26|4|phrasal|Help out|Помоги|help scene carrying boxes
26|5|phrasal|Step in|Вмешайся|intervene scene meeting
27|1|hook|Tiny difference|Мелкая разница|direct hook scene two options
27|2|phrase|Not quite|Не совсем|correction scene teacher
27|3|bait|Stand by|Ждать рядом|not stand near only scene waiting phone
27|4|phrasal|Stand out|Выделяйся|stand apart scene crowd
27|5|phrasal|Blend in|Слейся|fit in scene crowd
28|1|hook|Stop sounding stiff|Не будь сухим|direct hook scene stiff textbook
28|2|phrasal|Loosen up|Расслабься|less stiff scene shoulders
28|3|bait|Tighten up|Подтяни|not tight clothes scene improve work
28|4|phrasal|Polish up|Дошлифуй|improve text scene laptop edit
28|5|phrasal|Clean up|Прибери|clean scene table
29|1|hook|Phrase upgrade|Апгрейд фразы|direct hook scene arrow up
29|2|phrasal|Pick up|Забери|not lift only scene pickup bag
29|3|bait|Drop off|Завези|not fall down scene car delivery
29|4|phrasal|Send over|Перекинь|send file scene laptop phone
29|5|phrasal|Pass along|Передай дальше|forward message scene phone
30|1|hook|Say it better|Скажи лучше|direct hook scene speech
30|2|phrase|I'm not sure|Не уверен|uncertainty scene thinking
30|3|bait|Make out|Разобрать|not make outside scene blurry text
30|4|phrasal|Speak up|Говори громче|voice volume scene meeting
30|5|phrasal|Speak out|Выскажись|public opinion scene microphone
31|1|hook|Real reply|Живой ответ|direct hook scene phone reply
31|2|phrase|Got a minute|Есть минутка|ask time scene office
31|3|bait|Come up|Возникнуть|not come upstairs scene idea light
31|4|phrasal|Come up with|Придумай|idea scene sticky notes
31|5|phrasal|Think up|Придумай|brainstorm scene notes
32|1|hook|Smooth reply|Плавный ответ|direct hook scene chat
32|2|phrase|That works|Так пойдет|acceptance scene laptop
32|3|bait|End up|В итоге стать|not end upwards scene final result
32|4|phrasal|Wind up|Оказаться|not wind clock scene unexpected result
32|5|phrase|Long story short|Короче|summary scene storyteller
33|1|hook|Daily English|На каждый день|direct hook scene routine
33|2|phrasal|Eat out|Есть вне дома|restaurant scene food table
33|3|bait|Take out|Вынеси|not date only scene trash bag
33|4|phrasal|Order in|Закажи домой|food delivery scene phone
33|5|phrasal|Run out|Закончиться|not run outside scene empty shelf
34|1|hook|Sound friendly|Звучи дружелюбно|direct hook scene friendly talk
34|2|phrase|After you|После вас|polite scene door
34|3|bait|Go ahead|Давай|permission not go forward scene doorway
34|4|phrase|Be my guest|Пожалуйста|permission scene open door
34|5|phrase|No problem|Без проблем|response scene smile
35|1|hook|Not literal|Не дословно|direct hook scene translation mistake
35|2|phrasal|Look around|Осмотрись|shop scene browsing
35|3|bait|Look forward|Ждать с радостью|not look ahead scene calendar
35|4|phrasal|Look back|Оглянись|memory scene photo album
35|5|phrasal|Look away|Отвернись|avoid eye contact scene face
36|1|hook|Better wording|Лучше формулируй|direct hook scene writing
36|2|phrasal|Put away|Убери|tidy scene shelf
36|3|bait|Put up with|Терпеть|not put higher scene annoying noise
36|4|phrasal|Put together|Собери|assemble scene desk parts
36|5|phrasal|Put through|Соедини|phone transfer scene call center
37|1|hook|Use naturally|Используй живо|direct hook scene conversation
37|2|phrasal|Take over|Возьми контроль|office leadership scene meeting
37|3|bait|Take after|Пойти в кого-то|not take after time scene family photo
37|4|phrasal|Take apart|Разбери|disassemble scene tools
37|5|phrasal|Take back|Забери назад|return item scene counter
38|1|hook|More fluent|Более бегло|direct hook scene fluent speaking
38|2|phrasal|Get along|Ладить|friends scene conversation
38|3|bait|Get by|Справляться|not get near scene tight budget
38|4|phrasal|Get ahead|Продвинуться|career progress scene office
38|5|phrasal|Get around|Обойтись|solve obstacle scene map phone
39|1|hook|Conversation fuel|Топливо речи|direct hook scene talk
39|2|phrasal|Go through|Пройти через|hard time scene paperwork
39|3|bait|Go off|Сработать|not go away scene alarm
39|4|phrasal|Go without|Обойтись без|missing item scene empty plate
39|5|phrasal|Go back|Вернись назад|return scene path
40|1|hook|Talk like this|Говори вот так|direct hook scene talking
40|2|phrasal|Get on|Садись|bus train scene boarding
40|3|bait|Get off|Сойди|not remove clothes scene train exit
40|4|phrasal|Get in|Заходи|enter car room scene door
40|5|phrasal|Get out|Выходи|exit scene door
41|1|hook|Nice phrase|Хорошая фраза|direct hook scene notebook
41|2|phrasal|Turn on|Включи|switch light scene hand
41|3|bait|Turn off|Выключи|not turn away scene switch
41|4|phrasal|Turn around|Обернись|turn body scene street
41|5|phrasal|Turn back|Поверни назад|route change scene road
42|1|hook|Keep this|Оставь это|direct hook scene saved note
42|2|phrasal|Pick out|Выбери|shopping scene clothes rack
42|3|bait|Try on|Примерь|not try on table scene fitting room
42|4|phrasal|Wear out|Износи|worn shoes scene close up
42|5|phrasal|Dress up|Нарядись|outfit scene mirror
43|1|hook|Useful chunk|Полезный блок|direct hook scene phrase card
43|2|phrasal|Plug in|Подключи|cable scene hand
43|3|bait|Charge up|Заряди|not charge money scene battery phone
43|4|phrasal|Shut down|Выключи|computer shutdown scene laptop
43|5|phrasal|Back up|Сделай бэкап|computer backup scene hard drive
44|1|hook|Soft disagree|Мягко спорь|direct hook scene calm debate
44|2|phrase|I see why|Понимаю почему|empathy scene talk
44|3|bait|Not necessarily|Не факт|not always scene weighing options
44|4|phrase|That depends|Как посмотреть|depends scene crossroads
44|5|phrase|I doubt it|Сомневаюсь|doubt scene skeptical face
45|1|hook|Polite English|Вежливо скажи|direct hook scene polite service
45|2|phrase|Could you help|Поможете?|polite request scene counter
45|3|bait|Would you mind|Вы не против|not about mind brain scene polite request
45|4|phrase|Whenever works|Когда удобно|scheduling scene calendar
45|5|phrase|Sorry about that|Извини за это|apology scene service desk
46|1|hook|Chat phrases|Фразы для чата|direct hook scene messaging
46|2|phrasal|Text me|Напиши мне|phone message scene
46|3|bait|Hit me up|Напиши мне|not hit physically scene phone DM
46|4|phrasal|Ping me|Пингани меня|slack message scene laptop
46|5|phrasal|Keep me posted|Держи в курсе|updates scene notification
47|1|hook|Office English|Офисный английский|direct hook scene office
47|2|phrasal|Circle back|Вернемся позже|meeting follow up scene office
47|3|bait|Touch base|Сверимся|not touch base object scene meeting
47|4|phrasal|Loop in|Подключи|add person scene email
47|5|phrasal|Take notes|Записывай|notes scene meeting
48|1|hook|Travel phrases|Фразы в дороге|direct hook scene suitcase
48|2|phrasal|Check bags|Сдай багаж|airport counter scene suitcase
48|3|bait|Board up|Заколотить|not board plane scene wooden window
48|4|phrasal|Fly out|Вылетай|plane departure scene airport
48|5|phrasal|Land safely|Сядь удачно|plane landing scene runway
49|1|hook|Plan better|Планируй лучше|direct hook scene calendar
49|2|phrasal|Set aside|Отложи|save time money scene calendar
49|3|bait|Put aside|Отложи в сторону|not put beside scene savings jar
49|4|phrasal|Work around|Обойди|workaround scene problem solving
49|5|phrase|Let's pencil it|Набросим дату|tentative schedule scene calendar pencil
50|1|hook|Sound confident|Звучи уверенно|direct hook scene confident talk
50|2|phrase|I'll handle it|Я разберусь|take responsibility scene laptop
50|3|bait|Step up|Возьми на себя|not step higher scene leadership
50|4|phrasal|Take charge|Возьми контроль|leadership scene meeting
50|5|phrase|I'm on it|Я займусь|task accepted scene checklist
51|1|hook|Friendly refusal|Мягкий отказ|direct hook scene polite no
51|2|phrase|Maybe later|Может потом|soft refusal scene calendar
51|3|bait|Pass on|Отказаться|not pass object scene offer declined
51|4|phrase|I'm good thanks|Нет спасибо|polite refusal scene cafe
51|5|phrase|Rain check|В другой раз|postpone plan scene rainy window
52|1|hook|Better smalltalk|Лучше смолток|direct hook scene casual talk
52|2|phrase|How's it going|Как дела|smalltalk scene friends
52|3|bait|What's up|Как дела|not what is above scene greeting
52|4|phrase|Been too long|Давно не виделись|greeting scene reunion
52|5|phrase|Glad you're here|Рад тебя видеть|greeting scene hug
53|1|hook|Useful softeners|Смягчай речь|direct hook scene gentle talk
53|2|phrase|A bit|Немного|softener scene scale
53|3|bait|More or less|Более-менее|not more and less separately scene uncertain talk
53|4|phrase|Sort of|Типа того|softener scene shrug
53|5|phrase|Pretty much|Почти так|approximation scene checklist
54|1|hook|Sound curious|Звучи любопытно|direct hook scene question
54|2|phrase|What happened|Что случилось|ask event scene surprised phone
54|3|bait|What's going on|Что происходит|not physically going scene confusion
54|4|phrase|Any update|Есть новости|status question scene email
54|5|phrase|How come|Почему так|why question scene puzzled
55|1|hook|Make it clear|Скажи ясно|direct hook scene clear board
55|2|phrasal|Clear up|Проясни|explain confusion scene board
55|3|bait|Spell out|Объясни ясно|not spell letters only scene instructions
55|4|phrasal|Sum up|Подведи итог|summary scene whiteboard
55|5|phrasal|Wrap up|Заканчивай|finish meeting scene laptop
56|1|hook|Decision phrases|Фразы решений|direct hook scene choices
56|2|phrase|I'm leaning yes|Скорее да|decision scene voting
56|3|bait|Rule out|Исключи|not rule outside scene crossing option
56|4|phrase|Let's go with|Берем это|choose option scene cards
56|5|phrase|I'm torn|Я разрываюсь|two choices scene split decision
57|1|hook|Relationship phrases|Фразы отношений|direct hook scene couple talk
57|2|phrase|Talk honestly|Говори честно|feelings scene honest talk
57|3|bait|Break up|Расстаться|not break object scene couple apart
57|4|phrasal|Patch things up|Помириться|reconcile scene couple
57|5|phrasal|Let go|Отпусти|release emotion scene hand
58|1|hook|Money phrases|Фразы про деньги|direct hook scene wallet
58|2|phrasal|Split it|Делим счет|bill scene restaurant
58|3|bait|Pay off|Окупиться|not pay away scene investment chart
58|4|phrasal|Save up|Накопи|savings jar scene coins
58|5|phrasal|Cut back|Урежь траты|budget scene receipt
59|1|hook|Learning phrases|Фразы учебы|direct hook scene study desk
59|2|phrasal|Brush up|Освежи|review skill scene textbook
59|3|bait|Catch on|Понять фишку|not catch object scene aha moment
59|4|phrasal|Keep at it|Продолжай|practice scene notebook
59|5|phrasal|Fall behind|Отстать|study lag scene calendar
60|1|hook|Final upgrade|Финальный апгрейд|direct hook scene final checklist
60|2|phrase|You're close|Почти попал|encouragement scene target
60|3|bait|Nail it|Сделай четко|not nail object scene success
60|4|phrasal|Pull it off|Справься|successful result scene applause
60|5|phrase|That's the one|Вот оно|correct choice scene pointing
