video|slot|role|phrase_en|translation_ru|note
42|3|bait|You're kidding|Да ладно|bait not lying accusation only
42|4|phrasal|Light up|Засиять|face reaction
42|5|phrase|That's insane|Вот это да|reaction
43|1|hook|Humor helps everyone|Юмор помогает|humor hook
43|2|phrase|Good one|Хорошая шутка|joke praise
43|3|bait|I'm crying|Ржу|bait not actually crying
43|4|phrasal|Crack up|Смеяться|laugh hard
43|5|phrase|That's funny|Смешно|humor reaction
44|1|hook|Soften every answer|Смягчай ответ|softener hook
44|2|phrase|In a way|Типа того|softener
44|3|bait|I suppose|Наверное|bait not suppose formally only
44|4|phrase|Soften it|Смягчи|reduce intensity
44|5|phrase|A little|Немного|softener
45|1|hook|Confidence phrases matter|Уверенность важна|confidence hook
45|2|phrase|I can handle|Справлюсь|confidence
45|3|bait|Manage it|Справиться|bait not manage people only
45|4|phrase|Own this|Возьми это|take responsibility
45|5|phrase|I got this|Я справлюсь|confidence
46|1|hook|Boundaries sound clean|Границы мягко|boundaries hook
46|2|phrase|Can't do it|Не могу|boundary
46|3|bait|Need a breather|Нужна пауза|bait not breathing lesson only
46|4|phrase|Talk louder|Говори громче|speak louder
46|5|phrase|That's enough|Хватит|boundary
47|1|hook|Apologies work better|Извиняйся лучше|apology hook
47|2|phrase|I apologize|Прости|apology
47|3|bait|Make it right|Всё исправить|bait not make object right
47|4|phrasal|Own up|Признаться|admit
47|5|phrase|I was wrong|Я виноват|responsibility
48|1|hook|Gratitude feels warmer|Благодари тепло|gratitude hook
48|2|phrase|Thanks a lot|Большое спасибо|thanks
48|3|bait|You shouldn't have|Не стоило|bait not prohibition only
48|4|phrasal|Pay forward|Передай добро|kindness
48|5|phrase|Means a lot|Много значит|gratitude
49|1|hook|Decisions sound easy|Решай проще|decision hook
49|2|phrase|Let's choose|Выберем|decision
49|3|bait|Think it over|Обдумай|bait not think above
49|4|phrase|Choose fewer|Сузим|reduce options
49|5|phrase|Either works|Любой вариант|choice
50|1|hook|Time phrases help|Время проще|time hook
50|2|phrase|I'm free|Я свободен|availability
50|3|bait|Delay it|Отложить|bait not delay machine only
50|4|phrase|Schedule earlier|Раньше|schedule earlier
50|5|phrase|I'm delayed|Опаздываю|time status
51|1|hook|Travel feels safer|Путь спокойней|travel hook
51|2|phrase|Is this right|Это верно|checking direction
51|3|bait|Arrive there|Прибыть|bait not just come in
51|4|phrase|Return soon|Назад|return
51|5|phrase|I'm lost|Я потерялся|travel problem
52|1|hook|Airport phrases land|Аэропорт проще|airport hook
52|2|phrase|Boarding soon|Посадка скоро|airport
52|3|bait|Plane leaves|Взлетает|bait take off without take
52|4|phrase|Complete form|Заполни форму|form
52|5|phrase|Window seat|Место у окна|seat request
53|1|hook|Hotel talk easy|Отель проще|hotel hook
53|2|phrase|Reservation under|Бронь на|hotel check in
53|3|bait|Get comfortable|Освойся|bait not get furniture
53|4|phrase|Lower it|Убавь|reduce volume
53|5|phrase|Extra towel|Ещё полотенце|hotel request
54|1|hook|Health phrases matter|Здоровье важно|health hook
54|2|phrase|I feel sick|Мне плохо|health
54|3|bait|Come down with|Заболеть|bait not come downward
54|4|phrasal|Throw up|Вырвало|sick
54|5|phrase|Need medicine|Нужно лекарство|health need
55|1|hook|Safety words help|Безопасность важна|safety hook
55|2|phrase|Be careful|Осторожно|warning
55|3|bait|Watch out|Осторожно|bait not watch outward
55|4|phrase|Stay alert|Берегись|warning
55|5|phrase|Call help|Зови помощь|emergency
56|1|hook|Parent phrases work|Родителям надо|parent hook
56|2|phrase|Calm yourself|Успокойся|calm request
56|3|bait|Act mature|Повзрослей|bait not age only
56|4|phrasal|Pick it up|Подними это|clean or lift
56|5|phrase|Good job|Молодец|praise
57|1|hook|Motivation people save|Мотивация нужна|motivation hook
57|2|phrase|Don't stop|Не сдавайся|encouragement
57|3|bait|Quit now|Сдаться|bait not give upward
57|4|phrase|Keep pushing|Прорвись|persist
57|5|phrase|You can|Ты сможешь|encouragement
58|1|hook|Work stress phrases|Стресс на работе|stress hook
58|2|phrase|I'm swamped|Завал|busy
58|3|bait|Burn out|Выгореть|bait not literal fire only
58|4|phrasal|Catch back up|Нагнать|recover progress
58|5|phrase|Need a break|Нужен перерыв|rest
59|1|hook|Modern phrases everyone|Современные фразы|modern hook
59|2|phrase|That's awkward|Неловко|awkward reaction
59|3|bait|On the low|Втайне|bait not physical low place
59|4|phrasal|Show off|Хвастаться|brag
59|5|phrase|So true|Это правда|agreement
60|1|hook|Save this set|Сохрани это|final save hook
60|2|phrase|Use it daily|Используй каждый день|daily use
60|3|bait|Stay safe|Береги себя|bait farewell not physical staying
60|4|phrasal|Keep in touch|Будем на связи|stay connected
60|5|phrase|You've got this|Ты справишься|final encouragement
