video|slot|role|phrase_en|translation_ru|note
08|1|hook|Real phrase|Настоящая фраза|лобовой старт
08|2|useful|Answer fast|Ответьте быстро|практичный мост
08|3|bait|Hold on|Подождите|bait: не "держитесь сверху"; обычная просьба подождать
08|4|support_hook|Hook first|Сначала крючок|лобовой старт
08|5|support_useful|Wait outside|Ждите снаружи|практичный мост
09|1|hook|Big mistake|Большая ошибка|лобовой старт
09|2|useful|Stay calm|Сохраняйте спокойствие|практичный мост
09|3|bait|Look out|Берегитесь|bait: не "смотрите наружу"; это предупреждение
09|4|support_hook|Scroll stopper|Стоппер прокрутки|лобовой старт
09|5|support_useful|Wait inside|Ждите внутри|практичный мост
10|1|hook|Direct hit|Прямое попадание|лобовой старт
10|2|useful|Write back|Ответьте письменно|практичный мост
10|3|bait|Take off|Снять|bait: может быть снять одежду или взлететь, не "взять выключено"
10|4|support_hook|Instant doubt|Мгновенное сомнение|лобовой старт
10|5|support_useful|Call tomorrow|Позвоните завтра|практичный мост
11|1|hook|No dictionary|Без словаря|лобовой старт
11|2|useful|Call back|Перезвоните|практичный мост
11|3|bait|Give up|Сдаться|bait: не "дать вверх"; фразовый глагол
11|4|support_hook|Fresh trap|Свежая ловушка|лобовой старт
11|5|support_useful|Visit soon|Заходите скоро|практичный мост
12|1|hook|First instinct|Первый импульс|лобовой старт
12|2|useful|Sit down|Садитесь|практичный мост
12|3|bait|Get out|Выходи|bait: может быть нейтрально "выходи" или резко "убирайся"
12|4|support_hook|First shock|Первый шок|лобовой старт
12|5|support_useful|Meet today|Встретимся сегодня|практичный мост
13|1|hook|Common trap|Частая ловушка|лобовой старт
13|2|useful|Stand up|Встаньте|практичный мост
13|3|bait|Check out|Посмотрите|bait: не только "проверить"; еще "посмотреть" или оформить выезд
13|4|support_hook|Hook phrase|Фраза крючок|лобовой старт
13|5|support_useful|Meet tomorrow|Встретимся завтра|практичный мост
14|1|hook|Quick test|Быстрый тест|лобовой старт
14|2|useful|Come back|Вернитесь|практичный мост
14|3|bait|Make up|Придумать|bait: бывает придумать, помириться или накраситься; одного перевода нет
14|4|support_hook|Zero theory|Ноль теории|лобовой старт
14|5|support_useful|Pay later|Заплатите позже|практичный мост
15|1|hook|Think twice|Подумайте дважды|лобовой старт
15|2|useful|Turn left|Поверните налево|практичный мост
15|3|bait|Turn on|Включить|bait: не "повернуть на"; это включение
15|4|support_hook|Real quiz|Настоящий тест|лобовой старт
15|5|support_useful|Pay now|Заплатите сейчас|практичный мост
16|1|hook|Not literal|Не дословно|лобовой старт
16|2|useful|Turn right|Поверните направо|практичный мост
16|3|bait|Turn off|Выключить|bait: не "повернуть от"; это выключение
16|4|support_hook|Quick quiz|Быстрый тест|лобовой старт
16|5|support_useful|Send this|Отправьте это|практичный мост
17|1|hook|Easy win|Легкая победа|лобовой старт
17|2|useful|Put down|Положите|практичный мост
17|3|bait|Put on|Надеть|bait: не всегда "положить на"; с одеждой значит надеть
17|4|support_hook|No lecture|Без лекции|лобовой старт
17|5|support_useful|Save this|Сохраните это|практичный мост
18|1|hook|Hard truth|Жесткая правда|лобовой старт
18|2|useful|Take notes|Делайте заметки|практичный мост
18|3|bait|Take care|Берегите себя|bait: не "возьмите заботу"; это прощальная формула
18|4|support_hook|One truth|Одна правда|лобовой старт
18|5|support_useful|Share this|Поделитесь этим|практичный мост
19|1|hook|Classic error|Классическая ошибка|лобовой старт
19|2|useful|Help me|Помогите мне|практичный мост
19|3|bait|Same here|У меня тоже|bait: не "то же место"; это согласие с чужой репликой
19|4|support_hook|Funny trap|Смешная ловушка|лобовой старт
19|5|support_useful|Fix this|Исправьте это|практичный мост
20|1|hook|Translation lie|Перевод обманывает|лобовой старт
20|2|useful|Help yourself|Угощайтесь|практичный мост
20|3|bait|Fair enough|Ладно справедливо|bait: не "достаточно честно"; часто значит принимаю аргумент
20|4|support_hook|Short hook|Короткий крючок|лобовой старт
20|5|support_useful|Use this|Используйте это|практичный мост
21|1|hook|Phrase first|Сначала фраза|лобовой старт
21|2|useful|Call me|Позвоните мне|практичный мост
21|3|bait|Not really|Скорее нет|bait: не "не реально"; мягкое несогласие
21|4|support_hook|First spark|Первая искра|лобовой старт
21|5|support_bait|Too many|Слишком много|bait: только с исчисляемыми, не то же самое что Too much
22|1|hook|Meaning matters|Смысл важен|лобовой старт
22|2|useful|Stay here|Оставайтесь здесь|практичный мост
22|3|bait|Pretty good|Довольно хорошо|bait: не "красиво хорошо"; pretty часто усиливает
22|4|support_hook|Quick sting|Быстрый укол|лобовой старт
22|5|support_bait|Much better|Гораздо лучше|bait: much тут усиливает сравнение, не "много лучше" дословно
23|1|hook|Careful now|Осторожнее сейчас|лобовой старт
23|2|useful|Wait here|Ждите здесь|практичный мост
23|3|bait|That's rich|Ну ты даешь|bait: не "это богато"; часто ирония
23|4|support_hook|Sharp start|Острый старт|лобовой старт
23|5|support_bait|Either way|В любом случае|bait: не "любой путь"; цельная связка
24|1|hook|Listen first|Сначала слушайте|лобовой старт
24|2|useful|Come inside|Заходите внутрь|практичный мост
24|3|bait|Big deal|Подумаешь|bait: может быть "важное дело" или сарказм
24|4|support_hook|No mercy|Без пощады|лобовой старт
24|5|support_bait|Any more|Еще|bait: в два слова значит "еще больше", не всегда то же что anymore
25|1|hook|Stop copying|Хватит копировать|лобовой старт
25|2|useful|Go outside|Выйдите наружу|практичный мост
25|3|bait|No kidding|Серьезно|bait: не команда "без шуток"; часто реакция удивления
25|4|support_hook|Hook test|Тест крючка|лобовой старт
25|5|support_bait|Each other|Друг друга|bait: не "каждый другой"; это взаимное действие
26|1|hook|Wrong habit|Ошибочная привычка|лобовой старт
26|2|useful|Pay attention|Обратите внимание|практичный мост
26|3|bait|Never mind|Неважно|bait: не "никогда ум"; значит забудьте или не обращайте внимания
26|4|support_hook|Bite phrase|Кусающая фраза|лобовой старт
26|5|support_bait|One another|Друг друга|bait: не "один другой"; более книжный взаимный вариант
27|1|hook|Say naturally|Говорите естественно|лобовой старт
27|2|useful|Move closer|Подойдите ближе|практичный мост
27|3|bait|I mean|То есть|bait: не только "я имею в виду"; часто заполнитель и уточнение
27|4|support_hook|Direct bait|Прямая приманка|лобовой старт
27|5|support_bait|Other one|Другой|bait: one часто заменяет предмет, не переводится как "один"
28|1|hook|Use context|Берите контекст|лобовой старт
28|2|useful|Move away|Отойдите|практичный мост
28|3|bait|I'm sorry|Извините|bait: не "я грустный"; чаще извинение или сочувствие
28|4|support_hook|First bite|Первый укус|лобовой старт
28|5|support_bait|Another one|Еще один|bait: не "другой один"; зависит от контекста
29|1|hook|No panic|Без паники|лобовой старт
29|2|useful|Look closer|Посмотрите внимательнее|практичный мост
29|3|bait|You're welcome|Пожалуйста|bait: не "вы желанный"; ответ на спасибо
29|4|support_hook|Loud bait|Громкая приманка|лобовой старт
29|5|support_bait|The other|Второй другой|bait: the other обычно второй из двух, не любой другой
30|1|hook|Sharp question|Острый вопрос|лобовой старт
30|2|useful|Think aloud|Думайте вслух|практичный мост
30|3|bait|Of course|Конечно|bait: не "из курса"; цельная формула уверенности
30|4|support_hook|Start strong|Начните сильно|лобовой старт
30|5|support_bait|Another thing|Еще кое что|bait: не "другая вещь"; часто вводит новую мысль
31|1|hook|Bolder English|Смелее по английски|лобовой старт
31|2|useful|Try this|Попробуйте это|практичный мост
31|3|bait|My bad|Моя ошибка|bait: не "мое плохое"; разговорное признание вины
31|4|support_hook|Wake phrase|Фраза будильник|лобовой старт
31|5|support_bait|Some time|Некоторое время|bait: не sometimes; пробел меняет смысл
32|1|hook|Everyday English|Повседневный английский|лобовой старт
32|2|useful|Read aloud|Читайте вслух|практичный мост
32|3|bait|It's fine|Ничего страшного|bait: не всегда "это отлично"; часто успокаивает
32|4|support_hook|Sharp bait|Острая приманка|лобовой старт
32|5|support_bait|Sometime soon|Когда нибудь скоро|bait: sometime не sometimes; это неопределенный момент
33|1|hook|Travel ready|Готово для поездки|лобовой старт
33|2|useful|Check again|Проверьте снова|практичный мост
33|3|bait|That's fair|Справедливо|bait: не "это ярмарка"; fair тут про честность
33|4|support_hook|No escape|Не отвертеться|лобовой старт
33|5|support_bait|Any time|В любое время|bait: в два слова это время, не всегда то же что anytime
34|1|hook|Real answer|Настоящий ответ|лобовой старт
34|2|useful|Open this|Откройте это|практичный мост
34|3|bait|Bad luck|Не повезло|bait: не "плохая удача"; это оценка ситуации
34|4|support_hook|Truth bomb|Правда бомбой|лобовой старт
34|5|support_bait|Anytime soon|В ближайшее время|bait: часто живет в отрицании "not anytime soon"
35|1|hook|Comment magnet|Магнит комментариев|лобовой старт
35|2|useful|Close this|Закройте это|практичный мост
35|3|bait|Good point|Верно подмечено|bait: не "хорошая точка"; point это мысль или аргумент
35|4|support_hook|Simple trap|Простая ловушка|лобовой старт
35|5|support_bait|Every day|Каждый день|bait: два слова для частоты, не прилагательное everyday
36|1|hook|Watch closely|Смотрите внимательно|лобовой старт
36|2|useful|Bring water|Принесите воды|практичный мост
36|3|bait|Nice try|Хорошая попытка|bait: часто значит "не вышло", а не чистая похвала
36|4|support_hook|Native bait|Приманка носителя|лобовой старт
36|5|support_bait|Everyday word|Обычное слово|bait: everyday слитно значит повседневный, не "каждый день"
37|1|hook|One second|Одну секунду|лобовой старт
37|2|useful|Drink water|Пейте воду|практичный мост
37|3|bait|Long time|Давно|bait: в формуле Long time no see это не буквальное "долгое время"
37|4|support_hook|First test|Первый тест|лобовой старт
37|5|support_bait|Maybe later|Может позже|bait: это не обещание, а мягкое отодвигание
38|1|hook|Fast fix|Быстрая правка|лобовой старт
38|2|useful|Eat slowly|Ешьте медленно|практичный мост
38|3|bait|Hard time|Трудный период|bait: не "жесткое время"; про сложность в жизни
38|4|support_hook|Hook line|Строка крючок|лобовой старт
38|5|support_bait|I guess|Наверное|bait: не только "я угадываю"; часто смягчает мнение
39|1|hook|No schoolbook|Без учебника|лобовой старт
39|2|useful|Sleep well|Спите хорошо|практичный мост
39|3|bait|Good evening|Добрый вечер|bait: не путать с Good night; это вечернее приветствие
39|4|support_hook|Cold hook|Холодный крючок|лобовой старт
39|5|support_bait|You wish|Мечтай|bait: не буквальное доброе пожелание; часто насмешливый отказ
40|1|hook|Speak real|Говорите живо|лобовой старт
40|2|useful|Wake up|Просыпайтесь|практичный мост
40|3|bait|Good night|Спокойной ночи|bait: не "добрый вечер"; это прощание перед сном
40|4|support_hook|Final hook|Финальный крючок|лобовой старт
40|5|support_bait|Dream on|Размечтался|bait: не "сон включен"; это скептическая реакция
41|1|hook|Two words|Два слова|лобовой старт
41|2|useful|Keep quiet|Сохраняйте тишину|практичный мост
41|3|bait|All right|Ладно|bait: не "все право"; цельная разговорная формула
41|4|support_useful|Speak softer|Говорите мягче|практичный мост
41|5|support_bait|Fat chance|Почти без шансов|bait: не "толстый шанс"; на самом деле шанс маленький
42|1|hook|Short answer|Короткий ответ|лобовой старт
42|2|useful|Walk slowly|Идите медленно|практичный мост
42|3|bait|That's right|Верно|bait: не "это справа"; right тут правильность
42|4|support_useful|Walk away|Уходите|практичный мост
42|5|support_bait|Shut up|Замолчи|bait: грубо как команда, но иногда значит "да ладно" от удивления
43|1|hook|Useful shock|Полезный шок|лобовой старт
43|2|useful|Drive safely|Ведите осторожно|практичный мост
43|3|bait|For sure|Точно|bait: не "для уверенного"; разговорное подтверждение
43|4|support_useful|Look away|Отведите взгляд|практичный мост
43|5|support_bait|Grow up|Повзрослей|bait: не "расти вверх"; оценочная реплика
44|1|hook|English twist|Английский поворот|лобовой старт
44|2|useful|Call later|Позвоните позже|практичный мост
44|3|bait|Right away|Сразу|bait: не "право прочь"; значит немедленно
44|4|support_useful|Step back|Отойдите назад|практичный мост
44|5|support_bait|Hang on|Подождите|bait: не "висите на"; разговорное wait
45|1|hook|Obvious bait|Очевидная приманка|лобовой старт
45|2|useful|Ask later|Спросите позже|практичный мост
45|3|bait|Just now|Только что|bait: часто не "прямо сейчас"; в британском особенно "только что"
45|4|support_useful|Step forward|Шагните вперед|практичный мост
45|5|support_bait|Back up|Поддержать|bait: может быть поддержать, отойти назад или сделать копию
46|1|hook|Better phrase|Фраза лучше|лобовой старт
46|2|useful|Come early|Приходите рано|практичный мост
46|3|bait|Not yet|Еще нет|bait: не "не все еще"; стандартный ответ о незавершенности
46|4|support_useful|Look around|Осмотритесь|практичный мост
46|5|support_bait|Break down|Сломаться|bait: может быть сломаться или разобрать по частям
47|1|hook|Loud truth|Громкая правда|лобовой старт
47|2|useful|Leave early|Уходите рано|практичный мост
47|3|bait|Still here|Все еще здесь|bait: still тут не "тихий", а "все еще"
47|4|support_useful|Stay inside|Оставайтесь внутри|практичный мост
47|5|support_bait|Calm down|Успокойтесь|bait: не "спокойный вниз"; команда звучит резче чем кажется
48|1|hook|Common fight|Частый спор|лобовой старт
48|2|useful|Stay late|Оставайтесь допоздна|практичный мост
48|3|bait|Since when|С каких пор|bait: не "с когда"; цельная разговорная претензия
48|4|support_useful|Stand outside|Стойте снаружи|практичный мост
48|5|support_bait|Slow down|Притормозите|bait: не "медленный вниз"; просьба снизить темп
49|1|hook|Simple hook|Простой крючок|лобовой старт
49|2|useful|Start now|Начните сейчас|практичный мост
49|3|bait|By then|К тому времени|bait: не "по тогда"; by задает крайний момент
49|4|support_useful|Sit still|Сидите спокойно|практичный мост
49|5|support_bait|Cheer up|Выше нос|bait: не "болей вверх"; подбадривание
50|1|hook|Quick punch|Быстрый удар|лобовой старт
50|2|useful|Finish later|Закончите позже|практичный мост
50|3|bait|At all|Вообще|bait: работает в вопросах и отрицаниях, а не как отдельное "совсем" везде
50|4|support_useful|Keep moving|Продолжайте двигаться|практичный мост
50|5|support_bait|Warm up|Разогреться|bait: не "теплый вверх"; размяться или подготовиться
51|1|hook|No fluff|Без воды|лобовой старт
51|2|useful|Work today|Работайте сегодня|практичный мост
51|3|bait|In fact|На самом деле|bait: не "в факте"; цельная вводная фраза
51|4|support_useful|Keep trying|Продолжайте пытаться|практичный мост
51|5|support_bait|Work out|Получиться|bait: может значить тренироваться или получиться
52|1|hook|Hot phrase|Горячая фраза|лобовой старт
52|2|useful|Rest today|Отдохните сегодня|практичный мост
52|3|bait|In time|Вовремя успеть|bait: отличается от On time; это успеть до позднего момента
52|4|support_useful|Try harder|Старайтесь сильнее|практичный мост
52|5|support_bait|Find out|Выяснить|bait: не "найти наружу"; узнать после проверки
53|1|hook|Cold start|Холодный старт|лобовой старт
53|2|useful|Leave tomorrow|Уезжайте завтра|практичный мост
53|3|bait|On time|Точно вовремя|bait: отличается от In time; это по расписанию
53|4|support_useful|Work faster|Работайте быстрее|практичный мост
53|5|support_bait|Figure out|Разобраться|bait: не "фигуру наружу"; значит понять решение
54|1|hook|First line|Первая строка|лобовой старт
54|2|useful|Start again|Начните снова|практичный мост
54|3|bait|At once|Сразу|bait: не "один раз"; значит немедленно
54|4|support_useful|Drive slower|Езжайте медленнее|практичный мост
54|5|support_bait|Carry on|Продолжайте|bait: не "нести на"; разговорное продолжение
55|1|hook|Viewer trap|Ловушка зрителя|лобовой старт
55|2|useful|Stop here|Остановитесь здесь|практичный мост
55|3|bait|By heart|Наизусть|bait: не "сердцем"; устойчивое выражение
55|4|support_useful|Speak first|Говорите первым|практичный мост
55|5|support_bait|Pass out|Потерять сознание|bait: может быть раздать или отключиться; контекст решает
56|1|hook|Comment trap|Ловушка комментариев|лобовой старт
56|2|useful|Begin here|Начните здесь|практичный мост
56|3|bait|From scratch|С нуля|bait: не "из царапины"; значит с самого начала
56|4|support_useful|Listen more|Слушайте больше|практичный мост
56|5|support_bait|Pull over|Остановиться у обочины|bait: не "тянуть над"; команда водителю
57|1|hook|Wrong translation|Неверный перевод|лобовой старт
57|2|useful|Read this|Прочитайте это|практичный мост
57|3|bait|So far|Пока что|bait: не "так далеко"; часто про результат на данный момент
57|4|support_useful|Answer honestly|Ответьте честно|практичный мост
57|5|support_bait|Show up|Появиться|bait: не "показать вверх"; человек появляется
58|1|hook|Real meaning|Настоящий смысл|лобовой старт
58|2|useful|Repeat this|Повторите это|практичный мост
58|3|bait|Too bad|Жаль|bait: не "слишком плохой"; часто выражает сожаление
58|4|support_useful|Answer quickly|Ответьте быстро|практичный мост
58|5|support_bait|Set up|Настроить|bait: может быть настроить или подставить; не "поставить вверх"
59|1|hook|Say it|Скажите это|лобовой старт
59|2|useful|Repeat aloud|Повторите вслух|практичный мост
59|3|bait|Too late|Слишком поздно|bait: too усиливает, это не просто late
59|4|support_useful|Breathe slowly|Дышите медленно|практичный мост
59|5|support_bait|Pick up|Забрать|bait: может быть поднять, забрать или выучить; не "выбрать вверх"
60|1|hook|First punch|Первый удар|лобовой старт
60|2|useful|Speak louder|Говорите громче|практичный мост
60|3|bait|Too much|Слишком много|bait: для неисчисляемого или степени, не всегда "очень"
60|4|support_useful|Think clearly|Думайте ясно|практичный мост
60|5|support_bait|I'm done|Я закончил|bait: не "я сделан"; иногда еще "с меня хватит"
